"Freq [GHz]","re(S(FloquetPort1,FloquetPort1)) []","im(S(FloquetPort1,FloquetPort1)) []"
1,-0.00512536249351893,-0.0354638065874769
1.0005600224009,-0.0051310555087854,-0.0354831696090402
1.00112004480179,-0.00513675162982382,-0.0355025318027404
1.00168006720269,-0.00514245085653632,-0.0355218931681242
1.00224008960358,-0.00514815318882485,-0.035541253704737
1.00280011200448,-0.00515385862659029,-0.0355606134121255
1.00336013440538,-0.00515956716973422,-0.0355799722898355
1.00392015680627,-0.00516527881815812,-0.0355993303374127
1.00448017920717,-0.00517099357176283,-0.0356186875544039
1.00504020160806,-0.00517671143045005,-0.0356380439403544
1.00560022400896,-0.00518243239412097,-0.0356573994948109
1.00616024640986,-0.00518815646267605,-0.0356767542173193
1.00672026881075,-0.00519388363601707,-0.0356961081074253
1.00728029121165,-0.00519961391404538,-0.0357154611646754
1.00784031361254,-0.00520534729666124,-0.0357348133886152
1.00840033601344,-0.00521108378376591,-0.0357541647787915
1.00896035841434,-0.00521682337526111,-0.0357735153347497
1.00952038081523,-0.00522256607104692,-0.0357928650560357
1.01008040321613,-0.00522831187102504,-0.0358122139421963
1.01064042561702,-0.00523406077509557,-0.0358315619927767
1.01120044801792,-0.00523981278316013,-0.0358509092073236
1.01176047041882,-0.00524556789511922,-0.0358702555853828
1.01232049281971,-0.00525132611087334,-0.0358896011265
1.01288051522061,-0.00525708743032388,-0.0359089458302218
1.0134405376215,-0.00526285185337095,-0.0359282896960937
1.0140005600224,-0.00526861937991586,-0.0359476327236622
1.0145605824233,-0.00527439000985895,-0.035966974912473
1.01512060482419,-0.00528016374310061,-0.035986316262072
1.01568062722509,-0.00528594057954201,-0.0360056567720057
1.01624064962599,-0.00529172051908343,-0.0360249964418198
1.01680067202688,-0.00529750356162563,-0.0360443352710599
1.01736069442778,-0.00530328970706866,-0.0360636732592729
1.01792071682867,-0.00530907895531334,-0.0360830104060039
1.01848073922957,-0.00531487130625984,-0.0361023467107997
1.01904076163047,-0.00532066675980852,-0.0361216821732059
1.01960078403136,-0.00532646531586012,-0.0361410167927682
1.02016080643226,-0.00533226697431455,-0.0361603505690333
1.02072082883315,-0.00533807173507238,-0.0361796835015463
1.02128085123405,-0.00534387959803363,-0.0361990155898542
1.02184087363495,-0.00534969056309854,-0.0362183468335024
1.02240089603584,-0.00535550463016758,-0.0362376772320367
1.02296091843674,-0.005361321799141,-0.0362570067850035
1.02352094083763,-0.0053671420699176,-0.0362763354919485
1.02408096323853,-0.00537296544239936,-0.0362956633524179
1.02464098563943,-0.00537879191648483,-0.0363149903659578
1.02520100804032,-0.00538462149207478,-0.0363343165321135
1.02576103044122,-0.00539045416906921,-0.0363536418504317
1.02632105284211,-0.00539628994736743,-0.0363729663204578
1.02688107524301,-0.00540212882686998,-0.0363922899417384
1.02744109764391,-0.00540797080747583,-0.0364116127138191
1.0280011200448,-0.00541381588908555,-0.0364309346362456
1.0285611424457,-0.00541966407159903,-0.0364502557085644
1.02912116484659,-0.00542551535491528,-0.0364695759303209
1.02968118724749,-0.00543136973893476,-0.0364888953010617
1.03024120964839,-0.00543722722355676,-0.0365082138203324
1.03080123204928,-0.00544308780868052,-0.0365275314876788
1.03136125445018,-0.00544895149420633,-0.0365468483026472
1.03192127685107,-0.00545481828003359,-0.036566164264783
1.03248129925197,-0.00546068816606085,-0.036585479373633
1.03304132165287,-0.0054665611521889,-0.0366047936287427
1.03360134405376,-0.00547243723831682,-0.0366241070296575
1.03416136645466,-0.00547831642434362,-0.0366434195759244
1.03472138885555,-0.00548419871016834,-0.0366627312670885
1.03528141125645,-0.00549008409569177,-0.0366820421026962
1.03584143365735,-0.00549597258081161,-0.0367013520822934
1.03640145605824,-0.00550186416542783,-0.0367206612054257
1.03696147845914,-0.00550775884943931,-0.0367399694716396
1.03752150086003,-0.0055136566327455,-0.0367592768804804
1.03808152326093,-0.00551955751524518,-0.0367785834314947
1.03864154566183,-0.00552546149683821,-0.036797889124228
1.03920156806272,-0.00553136857742213,-0.0368171939582262
1.03976159046362,-0.00553727875689765,-0.0368364979330355
1.04032161286451,-0.00554319203516264,-0.0368558010482015
1.04088163526541,-0.00554910841211603,-0.0368751033032707
1.04144165766631,-0.00555502788765703,-0.0368944046977887
1.0420016800672,-0.00556095046168454,-0.0369137052313011
1.0425617024681,-0.0055668761340976,-0.0369330049033544
1.04312172486899,-0.0055728049047942,-0.0369523037134939
1.04368174726989,-0.00557873677367326,-0.0369716016612664
1.04424176967079,-0.00558467174063421,-0.0369908987462172
1.04480179207168,-0.00559060980557465,-0.037010194967892
1.04536181447258,-0.00559655096839409,-0.0370294903258375
1.04592183687348,-0.00560249522898992,-0.0370487848195993
1.04648185927437,-0.00560844258726166,-0.0370680784487228
1.04704188167527,-0.00561439304310772,-0.0370873712127547
1.04760190407616,-0.00562034659642588,-0.0371066631112403
1.04816192647706,-0.00562630324711533,-0.0371259541437261
1.04872194887796,-0.00563226299507395,-0.0371452443097579
1.04928197127885,-0.0056382258401997,-0.037164533608881
1.04984199367975,-0.00564419178239159,-0.0371838220406422
1.05040201608064,-0.00565016082154762,-0.0372031096045867
1.05096203848154,-0.00565613295756559,-0.037222396300261
1.05152206088244,-0.00566210819034385,-0.0372416821272109
1.05208208328333,-0.00566808651978008,-0.0372609670849819
1.05264210568423,-0.00567406794577314,-0.0372802511731205
1.05320212808512,-0.00568005246822076,-0.037299534391172
1.05376215048602,-0.00568604008702056,-0.037318816738683
1.05432217288692,-0.00569203080207065,-0.0373380982151992
